Waiting for iRacing session…
Connected to iRacing!
[2025-06-04T01:11:43] Logged 48 cars.
[2025-06-04T01:11:48] Logged 48 cars.
[2025-06-04T01:11:53] Logged 48 cars.
[2025-06-04T01:11:58] Logged 48 cars.
[2025-06-04T01:12:03] Logged 48 cars.
[2025-06-04T01:12:08] Logged 48 cars.
[2025-06-04T01:12:13] Logged 48 cars.
[2025-06-04T01:12:18] Logged 48 cars.
[2025-06-04T01:12:23] Logged 48 cars.
[2025-06-04T01:12:28] Logged 48 cars.
[2025-06-04T01:12:33] Logged 48 cars.
[2025-06-04T01:12:38] Logged 48 cars.
[2025-06-04T01:12:43] Logged 49 cars.
[2025-06-04T01:12:48] Logged 50 cars.
[2025-06-04T01:12:53] Logged 50 cars.
[2025-06-04T01:12:58] Logged 50 cars.
[2025-06-04T01:13:03] Logged 50 cars.
[2025-06-04T01:13:08] Logged 50 cars.
[2025-06-04T01:13:13] Logged 50 cars.
[2025-06-04T01:13:18] Logged 50 cars.
[2025-06-04T01:13:23] Logged 50 cars.
[2025-06-04T01:13:28] Logged 50 cars.
[2025-06-04T01:13:33] Logged 50 cars.
[2025-06-04T01:13:38] Logged 50 cars.
[2025-06-04T01:13:43] Logged 50 cars.
[2025-06-04T01:13:48] Logged 50 cars.
[2025-06-04T01:13:53] Logged 50 cars.
[2025-06-04T01:13:58] Logged 50 cars.
[2025-06-04T01:14:03] Logged 50 cars.
[2025-06-04T01:14:08] Logged 50 cars.
[2025-06-04T01:14:13] Logged 50 cars.
[2025-06-04T01:14:18] Logged 50 cars.
[2025-06-04T01:14:23] Logged 50 cars.
[2025-06-04T01:14:28] Logged 50 cars.
[2025-06-04T01:14:33] Logged 50 cars.
[2025-06-04T01:14:38] Logged 50 cars.
[2025-06-04T01:14:43] Logged 50 cars.
[2025-06-04T01:14:48] Logged 50 cars.
[2025-06-04T01:14:53] Logged 50 cars.
[2025-06-04T01:14:58] Logged 50 cars.
[2025-06-04T01:15:03] Logged 50 cars.
[2025-06-04T01:15:08] Logged 50 cars.
[2025-06-04T01:15:13] Logged 50 cars.
[2025-06-04T01:15:18] Logged 51 cars.
[2025-06-04T01:15:23] Logged 51 cars.
[2025-06-04T01:15:28] Logged 51 cars.
[2025-06-04T01:15:33] Logged 51 cars.
[2025-06-04T01:15:38] Logged 51 cars.
[2025-06-04T01:15:43] Logged 51 cars.
[2025-06-04T01:15:48] Logged 51 cars.
[2025-06-04T01:15:53] Logged 51 cars.
[2025-06-04T01:15:58] Logged 51 cars.
[2025-06-04T01:16:03] Logged 51 cars.
[2025-06-04T01:16:08] Logged 51 cars.
[2025-06-04T01:16:13] Logged 51 cars.
[2025-06-04T01:16:18] Logged 51 cars.
[2025-06-04T01:16:23] Logged 51 cars.
[2025-06-04T01:16:28] Logged 51 cars.
[2025-06-04T01:16:33] Logged 51 cars.
[2025-06-04T01:16:38] Logged 51 cars.
[2025-06-04T01:16:43] Logged 51 cars.
[2025-06-04T01:16:48] Logged 51 cars.
[2025-06-04T01:16:53] Logged 51 cars.
[2025-06-04T01:16:58] Logged 51 cars.
[2025-06-04T01:17:03] Logged 51 cars.
[2025-06-04T01:17:08] Logged 51 cars.
[2025-06-04T01:17:13] Logged 51 cars.
[2025-06-04T01:17:18] Logged 52 cars.
[2025-06-04T01:17:23] Logged 52 cars.
[2025-06-04T01:17:28] Logged 52 cars.
[2025-06-04T01:17:33] Logged 52 cars.
[2025-06-04T01:17:38] Logged 52 cars.
[2025-06-04T01:17:43] Logged 52 cars.
[2025-06-04T01:17:48] Logged 52 cars.
[2025-06-04T01:17:53] Logged 52 cars.
[2025-06-04T01:17:58] Logged 52 cars.
[2025-06-04T01:18:03] Logged 52 cars.
