Time,CarIdx,TeamName,UserName,CarClassID,Position,ClassPosition,Lap,BestLapTime,LastLapTime,OnPitRoad,PitCount
2025-06-04T01:19:43,63,Lily Bowling,Lily Bowling,4084,0,0,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,0,Side Ting Racing,Lachy R Brett,4083,21,21,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,1,USRA Red,Chris Schultz2,4083,0,0,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,2,Team Mike Bowen3,Mike Bowen3,4083,0,0,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,3,Stephen Hawking s Pit Crew,Andrew Hess2,4083,0,0,-1,-1.0,-1.0,False,2
2025-06-04T01:19:48,4,Team John McDonald V,John McDonald V,4084,0,0,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,5,Faded Line,Mack McGuire,4084,0,0,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,6,GDX Racing,Gustavo Diniz,4083,5,5,-1,-1.0,-1.0,False,1
2025-06-04T01:19:48,7,SGrey,Simple Grey,4083,17,17,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,8,Team Julián Toro,Julián Toro,4084,26,3,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,9,ATR Argentos MP Maro Plumbing,Diego A Armendariz,4083,15,15,7,507.8283996582031,507.8283996582031,False,0
2025-06-04T01:19:48,10,Team Krishen Sharma,Krishen Sharma,4083,23,23,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,11,Team James Pyper,James Pyper,4083,10,10,5,503.9632873535156,503.9632873535156,True,3
2025-06-04T01:19:48,12,Amateur Hour Racing,Joshua Yu,4083,9,9,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,13,Valkyrie Racing Team,Ian Knox2,4083,2,2,9,496.8724060058594,501.9797058105469,False,0
2025-06-04T01:19:48,14,Team SoggyFrenchFries,James Allen,4084,0,0,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,15,Team Yuxuan Cai,Yuxuan Cai,4083,6,6,7,501.1120910644531,507.1106872558594,True,3
2025-06-04T01:19:48,16,LMRT,Eduardo Chongkan,4083,11,11,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,17,"Friendly, Don t Shoot ",Stephen Mcilwaine,4084,24,1,9,529.6441040039062,529.6441040039062,True,1
2025-06-04T01:19:48,18,HyPrix SimRaceCity Aurora,Eddie Gomez,4084,0,0,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,19,FROG LEAP JUICD RACING GREEN,Braden Oloughlin,4083,18,18,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,20,Motus Tardus Racing,Kirill Bratchenko,4083,0,0,-1,-1.0,-1.0,False,0
2025-06-04T01:19:48,21,Drag-On Racing 934,Hongjun Xu,4083,0,0,-1,-1.0,-1.0,False,0
